States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date
Kerala,52.57,44.43,47.29,93,133.14,132.79,125.07,112,40.64,53.64,224.86,212.9,167.23,,152,112.15,57.79,234,14.21,30.64,22.5,37.07,2023-02-28
Madhya Pradesh,33.29,27.96,34,68.92,109.67,94.63,97.46,88.13,40.04,55.74,187.43,158.04,126.35,132.52,163.18,120.64,40.39,251.5,18.87,16.78,17.61,13.09,2023-02-28
Maharashtra,43.47,37.84,41.42,69.53,119.42,109.84,108.11,96.16,39.58,55.89,186.42,178.17,134,131.58,152,111.88,49,290.47,23.32,25.79,23.11,20.11,2023-02-28
Manipur,45,,45,80,120,135,120,90,45,30,185,240,170,240,210,116,80,230,14,25,28,60,2023-02-28
Meghalaya,29.29,39.57,39,79.25,113.8,119.25,111.17,92.14,45.29,70,143,160.86,145,158.29,197.33,148.75,75,350,21.71,23.43,31.86,39.57,2023-02-28
Mizoram,46.64,40.67,43.1,97.25,115.4,114,120,105.8,50,74,176,207,173,158.64,176,130,96.71,204.5,28.09,35.82,52.82,60.33,2023-02-28
Nagaland,35,46.5,45,88.33,108.33,101.25,111.25,102.5,50,70,210,181.25,206.67,173.75,172.5,137.5,75,308.33,21,34.5,42.5,51.75,2023-02-28
Odisha,33.5,37,39.86,67.68,111.14,100.95,102.73,79.95,41.5,48.86,168.8,165.59,120.3,147.89,145.32,104.32,45.91,272.94,24.41,14,20.82,16.73,2023-02-28
Puducherry,40,40,37,69,118,115,104,85,37,46,205,175,153,,130,105,49,343,27,23,15,18,2023-02-28
Punjab,35,26.7,30.2,76.1,116.1,109,103.9,97.3,40.88,56.25,192.5,155.25,139.25,147.88,173.25,115.17,45.13,269.88,26,13.5,23.25,26.88,2023-02-28
Rajasthan,37.65,30.68,33.58,70.6,108.45,102.68,98.94,89.35,40.74,49.93,189.48,161.77,128.66,151.67,177.46,132.75,43.32,303.48,20.06,20.68,23.48,22.29,2023-02-28
Sikkim,58,36.75,42.75,80,123.25,126.25,117.25,102.5,47.75,62,,199.75,129.75,177,210.75,,54,480,18.75,28.75,32.5,31.25,2023-02-28
Tamil Nadu,50.67,42.11,49,71.33,118,114.44,108.33,93.78,39,42,218.56,199.63,132.56,,153,107.11,53.56,277.38,25.33,30.44,23.11,29.11,2023-02-28
Telangana,43.9,36.8,40.5,69.4,107.3,110.2,103.3,93.2,39.7,62.2,169.8,182.9,124.9,157.83,155.9,113.5,54,298.67,17.8,27.6,27.4,29.5,2023-02-28
Tripura,32,,44,77,115,115,115,110,49,80,,164,138,150,173,115,52,179,10,17,28,23,2023-02-28
Uttar Pradesh,34.32,26.37,32.13,68.91,107.94,103.01,101.32,91.8,40.78,59.85,186.79,159.2,135.87,149.43,171.18,116.85,43.45,240.97,25.55,13.1,21.09,16.41,2023-02-28
Uttarakhand,34.33,29.33,33,84.33,114.67,105.33,107.33,103.33,41.67,58.33,174.67,158,154.33,159,164.67,119.5,47.33,250,28,15.67,20.67,16.67,2023-02-28
West Bengal,40,26.6,35,70.57,113.86,106.43,108.14,100.86,43.86,50,187.6,157.71,114,142.14,156.71,111.86,50.29,265.43,20,13.29,24.14,19.86,2023-02-28
Andaman and Nicobar,41.33,40,65.33,85.33,126.67,140.67,127.33,111.67,51.33,69.33,224.5,215.67,200.67,,196.33,134.33,75,305,20.67,41.67,45,61.67,2023-03-01
Andhra Pradesh,53.75,41.75,43.75,71,118.75,122.25,110.5,102.5,42.25,56.75,175,191.25,119.25,170,145.5,104.5,57.5,352.5,21.5,27,23.25,25.25,2023-03-01
Arunachal pradesh,33,42,42.67,87.67,117.67,120,116.67,103.33,49.33,65.33,,165.67,145,165,206,138,82.5,313.5,17.33,21,35.67,36.67,2023-03-01
Assam,37.23,32.83,37.81,71.33,110.05,96.94,103.86,91,43.05,68.14,212.25,167.73,149.67,153.91,176.05,121.15,52.71,244.15,13.19,12.95,22.33,29.1,2023-03-01
Bihar,36.21,28.82,34.55,67.45,110.18,106.55,101.82,83.13,42.05,52.71,189.87,156.14,132.61,146.76,182.19,117.1,43.24,274.03,21.71,13.87,20.47,17.39,2023-03-01
Chandigarh,38,28,35,74,115,109,103,96,42,55,194,176,145,155,178,123,53,272,27,13,25,25,2023-03-01
Chhattisgarh,36,33.5,38.25,71.88,105.75,98.63,102.13,89.88,40,55.25,193.63,174.75,132.5,144.75,162,126.88,49.63,295.63,21.5,19.88,24.88,13.88,2023-03-01
Delhi,38,30,31,72,120,120,103,89,41,53,213,152,133,151,179,114,47,240,26,17,27,23,2023-03-01
DNH and DD,39,27.5,33.5,71,117,111.5,103.5,108,37.5,60,191,176,162,163,173,112,57.5,240,26,23.5,23,9,2023-03-01
Goa,42,43,42.5,75,122.5,116,115,99,40,57.5,188,181.5,149,167,156,104.5,54,335.5,23.5,30,24,30,2023-03-01
Gujarat,34,31.67,33.33,68.67,103.33,93,90.67,95,41,54.67,185.33,180,161.33,168,176.33,144,45.67,345.33,13.33,29,28.33,33,2023-03-01
Haryana,36.75,26,33.5,63,103.5,95.25,95.75,89,41.75,58.5,191,161,140.5,144.25,178.25,119,42.75,234,25,16.5,23.25,25,2023-03-01
Himachal Pradesh,33.58,21,33,67.92,110.92,105.75,100.17,90.33,42.17,52,193.6,174.25,139.09,140.2,169.25,120,41.42,284.08,26.67,19.67,27.08,33.08,2023-03-01
Jammu and Kashmir,38.25,29,39.5,83.75,118.75,118.25,114.25,102.5,50,52,253,185,158.75,169.25,184.75,141,46.75,310.75,25.75,24.25,30.25,31.25,2023-03-01
Jharkhand,35.75,31.73,34.94,70.31,108.5,99.94,102.38,83.13,42.69,54.36,191,161.14,128.21,153.29,172.92,118.38,42.38,285.92,22.85,15,21.5,12.14,2023-03-01
Karnataka,49.48,41.45,44.62,75.62,115.93,115.45,107.45,100.59,38.9,46.31,183.59,186.14,127.76,152.71,150.03,106.45,48.31,311.76,19.96,31.34,24.48,23.93,2023-03-01
Kerala,52.5,44.5,47.29,92.86,132.79,132.43,125,112,40.64,53.08,224.86,212.6,167.31,,151.93,112.15,58.43,234.14,14.36,30.36,22.43,37,2023-03-01
Madhya Pradesh,33.45,27.59,33.36,69.14,109.27,94.43,96.27,86.91,40.09,56.59,186.75,158.19,127.19,132.95,162.45,120.1,40.45,252,18.81,16.82,17.32,13.09,2023-03-01
Maharashtra,43.22,37.94,41.83,69.94,120.28,110.11,108.44,95.94,39.83,56.78,186.56,178.35,135.44,131.28,150.56,112.2,49.67,294.33,23.28,26,22.94,21.11,2023-03-01
Manipur,45,,42.5,75.5,118.5,135,113.5,93.5,45,30,,233,178,177,,151,80,230,14,22.5,36.5,60,2023-03-01
Meghalaya,29.38,40.25,39.5,76.17,112.29,117.83,108.14,91.5,44.88,70.25,143,157.63,138.67,154.38,187.25,133.25,75,352.5,22.75,22.25,31.5,35.63,2023-03-01
Mizoram,46.64,40.67,43.1,97.25,115.4,114,120,105.8,50,74.09,174.67,203.13,174.75,158.55,177.33,131.33,97.71,204.3,27.91,35.64,52.73,60.33,2023-03-01
Nagaland,36,43,39,97,108.75,110,111,95,48,72.75,210,165,207.5,171,181.67,137.5,83.33,273,18.6,35.6,38,51.4,2023-03-01
Odisha,33.62,37.07,39.81,67.76,111.1,101,102.38,79.62,41.57,48.75,168.4,165.48,121.47,147.89,144.29,104.29,46.57,263.19,24.29,14,20.76,16.9,2023-03-01
Puducherry,40,41,36,69,119,119,105,84,37,44,205,184,153,,130,105,48,343,27,24,14,19,2023-03-01
Punjab,34.4,26.3,29.7,76,115.9,109,103.5,96.9,40.88,56.25,192.5,155.13,138.75,147.75,172.75,115,45.13,270,25.88,13.63,22.75,26.88,2023-03-01
Rajasthan,38.42,30.58,33.35,70.57,108.35,102.97,98.77,89.42,40.67,50.89,188.5,161.53,129.24,152.4,176.5,137,43.27,300.1,19.73,21.03,23.37,22.17,2023-03-01
Sikkim,58.6,36.6,41.4,80,125.6,128,118.4,104.2,48.2,61.6,,194.6,137.2,177,206.8,,56.4,445.75,18.4,28.6,34,33,2023-03-01
Tamil Nadu,50.67,42.33,49.22,71.67,118.22,114.78,108.89,93.78,38.89,42,218.67,199.63,132.56,,150.89,107.56,53.44,277.38,25.33,30.22,23.22,28.22,2023-03-01
Telangana,44.1,37,40.6,69.5,107.5,110.3,103.3,93.3,39.6,62,170.2,182.2,124.8,157.83,155.7,114.3,53.8,299.22,17.6,27.6,27.4,29.7,2023-03-01
Tripura,33,,42,74,113.5,111.5,107.5,107.5,49,80,,166,122,150,162.5,112.5,54,179,10,16,21.5,31.5,2023-03-01
Uttar Pradesh,34.23,26.28,32.09,68.97,107.78,103.17,101.33,91.96,40.81,59.88,186.7,159.06,135.84,149.46,171.13,116.91,43.52,241.06,25.57,13.16,21.1,16.64,2023-03-01
Uttarakhand,34.75,28.5,33.5,85.75,113.5,105,106.5,100,41.75,60.25,172.5,160.5,157,160,165.25,119.5,46.75,262,28.25,14,20,18.75,2023-03-01
West Bengal,39.86,26.6,34.86,70.57,114.57,107,107.86,100.86,43.71,50,187.6,157.71,114,142,156.71,111.86,50.43,265.57,20,13.43,24.14,19.86,2023-03-01
Andaman and Nicobar,41.33,40,65.33,85.33,126.67,140.67,127.33,111.67,51.33,69.33,224.5,215.67,200.67,,196.33,134.33,75,308.33,20.67,41.67,45,61.67,2023-03-02
Andhra Pradesh,51,41.4,43.4,69.8,115,119.8,110.4,102,40.8,57.4,176.4,204.6,119.4,180,155.4,116.6,56.8,322,21.2,29.6,22.2,24,2023-03-02
Arunachal pradesh,33,42,42.67,87.67,117.67,120,116.67,103.33,49.33,65.33,,165.67,145,164.33,206,138,82.5,313.5,17.33,21,35.67,36.67,2023-03-02
Assam,37.39,32.83,37.82,71.55,110.32,97.78,103.36,91.73,43.14,68.55,207.33,167.61,147,154.61,175.4,120.29,52.91,239.86,13.18,12.73,22.23,28.14,2023-03-02
Bihar,36.14,28.94,34.54,67.6,109.57,106.4,101.8,82.97,42.17,52.74,194.93,156.49,133.06,146.51,183.52,116.54,43.09,277.14,21.26,13.97,20.26,17.66,2023-03-02
Chandigarh,38,28,35,74,115,109,103,96,42,55,194,176,146,155,178,123,53,272,27,13,25,25,2023-03-02
Chhattisgarh,34.57,32.43,37,70.29,105,98,102.43,90.29,40.14,55.86,192.43,173.57,129.71,144.86,163,131.71,47.29,294,21.57,19.71,25,13.57,2023-03-02
Delhi,38,30,31,72,120,120,103,89,41,53,213,150,133,151,179,114,48,240,26,17,23,23,2023-03-02
DNH and DD,38.67,30.33,33.5,76.67,117,113.67,108.33,104,38.33,56,200.67,170,162,164,188.67,124.33,49,240,23.67,22.67,23.5,9,2023-03-02
Goa,45,43.5,43,75.5,125,117,116.5,100.5,40,57.5,188,181.5,149,167,156,104.5,54,335.5,23.5,30,25,30,2023-03-02
Gujarat,31.5,30.5,33.5,68.25,105.5,102.5,93.5,96.25,40,55,190,179,145,168.75,174.25,127.5,49,325.5,14.75,26.25,25.5,29,2023-03-02
Haryana,36.75,26,33.5,63,103.75,95.5,96,89.25,41,58.67,191.25,161.25,140.75,144.5,178.5,119.25,41.33,232,24,15.25,22,24,2023-03-02
Himachal Pradesh,33.67,21,32.92,67.83,111,105.67,100.17,90.5,42.08,52,193.6,173.25,139.17,139.6,169.25,120,41.42,284.08,26.5,19.67,27.08,33.08,2023-03-02
Jammu and Kashmir,38.25,29,39.5,83.75,118.75,118.25,114.25,102.5,50,52,253,185,158.75,169.25,184.75,141,46.75,310.75,25.75,23.75,30.25,31.5,2023-03-02
Jharkhand,36.12,32.06,35.69,70.76,108.94,100.29,102.76,84.12,42.64,54.58,187.64,160.25,127.63,153.13,171.36,116.2,42.36,292.85,22.93,14.88,21.38,12.38,2023-03-02
Karnataka,49.61,41.19,44.84,76.19,116.29,114.35,106.77,100.58,38.94,46.65,182,185.39,127.71,151.94,149.32,105.87,48.1,295.68,18.74,30.84,24.48,24.26,2023-03-02
Kerala,53.08,45.58,48,93.33,134.25,132,125.17,112,40.75,53.36,225.33,209.5,163.67,,153,112.82,58.5,232.33,14.58,30.08,22.42,37.58,2023-03-02
Madhya Pradesh,33.24,27.6,33.44,68.12,109.4,94.04,96.76,87.52,40.08,55.88,182.76,155.84,128.12,132.44,162.3,118.58,40.52,250.76,18.36,16.44,17.44,13,2023-03-02
Maharashtra,43.47,37.95,41.37,69.74,119.74,110,108.05,96.26,39.74,56,186.21,177.94,134,131,151.79,112.06,49.11,290.68,23.32,25.74,22.68,20.26,2023-03-02
Manipur,45,,42.5,75.5,118.5,135,113.5,93.5,45,30,185,235,174,206.5,210,132,80,230,14,22.5,36.5,60,2023-03-02
Meghalaya,31.4,42,41,79.25,114.75,109,111.75,92.4,44.8,70.4,,163,130,156.4,181.5,128.33,73.33,394,21.8,18,28,30.8,2023-03-02
Mizoram,46.64,40.67,43.1,97.25,115.4,114,120,105.8,50,74.09,174.67,206.25,174.75,158.73,177.33,131.33,97.71,204.3,27.91,35.73,52.73,60.11,2023-03-02
Nagaland,36,39,42,96.25,105,107,111,106,49,69.5,210,177,210,173,181.67,137.5,83.33,287,19.2,34.5,42.5,51.75,2023-03-02
Odisha,33.59,36.94,39.82,67.86,111.32,100.86,102.73,79.64,41.5,48.81,168.4,164.32,120.4,147.89,144.77,104.36,46,273.94,24.5,13.91,20.82,16.64,2023-03-02
Puducherry,40,41,36,69,119,119,105,84,37,44,205,184,153,,130,105,48,343,27,24,15,16,2023-03-02
Punjab,34,25.38,29.63,76.13,116.5,112.13,105.25,98.13,40.67,54.83,197.17,157,139.83,149.33,175.83,111.5,46.67,268.67,25.67,12.67,22.67,25.17,2023-03-02
Rajasthan,38.76,30.45,33.55,70.68,108.24,103,98.9,89.52,40.89,51.08,187.43,161.18,129.11,151.25,176.17,136,43.11,298.82,19.71,20.71,23.46,21.96,2023-03-02
Sikkim,58.6,36.6,41.4,80,125.6,128,118.4,104.2,48.2,61.6,,196,137.2,178.25,209.8,,56.4,428.6,18.4,30.75,35,33.75,2023-03-02
Tamil Nadu,50.67,42.33,49.22,71.89,118.78,115.44,109.44,94.33,38.89,42,218.67,199.63,132.56,,150.56,107.56,53.44,277.38,25.33,30.11,23.22,28.22,2023-03-02
Telangana,44,36.9,40.6,69.4,107.4,110.3,103.3,93.3,39.6,62,169.9,182.9,124.9,157.83,155.5,113.3,53.8,295.6,17.6,27.5,27.4,29.9,2023-03-02
Tripura,32,,45,78,115,115,115,110,49,80,,164,138,150,173,115,52,179,10,17,25,23,2023-03-02
Uttar Pradesh,34.2,26.21,32.1,68.93,107.8,103.16,101.48,92,40.84,59.91,186.88,159.22,136,149.41,171.09,117.13,43.49,240.81,25.59,13.14,21.1,16.64,2023-03-02
Uttarakhand,34.33,29.33,33,84.33,114.33,105,107.33,103.33,41.67,58.67,174.67,158,154.33,159,164.67,119.5,47.67,251,28,15.67,20.33,16.67,2023-03-02
West Bengal,40,26.2,34.29,70.57,115.71,106.71,108,100.57,43.57,50.29,187.6,157.14,113.71,141.71,156,111.86,50.71,267.29,20.71,13.71,24.14,19.86,2023-03-02
Andaman and Nicobar,41.67,40,65.33,85.33,126.67,140.67,127.33,112,51.33,69.33,224.5,215.67,200.67,,196.33,134.33,75,308.33,20.67,38,39,61.67,2023-03-03
Andhra Pradesh,53.75,41.75,43.75,71,118.75,122.25,110.5,102.5,42.25,56.75,175.5,191.25,119.25,170,144.25,104.5,57.5,352.5,21.5,26,22.75,25,2023-03-03
Arunachal pradesh,32.5,,43.5,85,115,115,115,100,49,70,,151,140,156.5,232,,70,327,16.5,18.5,36.5,32.5,2023-03-03
Assam,37.42,32.83,37.74,71.35,110.7,98.53,103.83,92.09,43.17,68.57,212.25,166.96,148.35,154.38,175.14,120.29,52.57,243.27,12.91,12.65,22.09,28.14,2023-03-03
Bihar,36.35,28.7,34.43,67.43,110.49,106.54,102,82.95,42.16,52.76,194.88,156.32,132.81,146.59,184.31,116.41,43.19,273.95,21.65,13.76,19.92,17.57,2023-03-03
Chandigarh,38,28,35,74,115,109,103,96,42,55,194,176,145,155,178,123,53,272,27,13,25,25,2023-03-03
Chhattisgarh,35.78,33.44,37.56,71.44,105.56,96.22,100.56,88.67,39.63,59.13,193,169.44,127,142.33,164,125.56,48.25,284.75,24,20.75,25.63,12.5,2023-03-03
Delhi,38,30,31,72,120,120,103,89,41,53,213,150,133,151,179,114,48,242,26,17,23,23,2023-03-03
DNH and DD,39,35.5,39,82.5,120,116,115.5,100.5,40,56,193.5,163.5,164,158,194.5,126.5,55.5,295,21,23,22,9,2023-03-03
Goa,45,43,42.5,75,122.5,116,115,99,40,57.5,188,181.5,149,167,156,104.5,54,335.5,23.5,30,25,30,2023-03-03
Gujarat,32,32,33.33,68.33,106.67,105,92.33,100,41.5,53.5,192.67,187.33,155.33,182,187.33,138.67,41.5,368,11.5,26.67,26.33,27,2023-03-03
Haryana,37,26,33.25,63.25,103,95,96.25,89.5,41.5,58.25,191,161,140.5,144.25,178.25,119,42.5,232.75,25,15.75,22.75,24,2023-03-03
Himachal Pradesh,33.58,21,32.92,67.75,111.25,105.83,100.25,90.5,42.08,52,193.6,173.17,139.33,139.6,169.25,120,41.17,284.08,26.67,19.17,27,33.33,2023-03-03
Jammu and Kashmir,38.5,29,39.5,83.75,118.75,118.25,113.25,100,50.25,51.75,253,184.75,158.75,169.25,184.75,142.67,46.75,311.5,25.75,24,29.25,31.25,2023-03-03
Jharkhand,36.38,32.27,35.88,70.81,109.75,100.75,103.31,84.13,42.73,54.85,187.18,160.38,127.63,153.25,171.29,116.33,42.27,290.14,23.33,14.81,21.38,12.5,2023-03-03
Karnataka,50.17,41.34,44.38,76.48,116.28,114.34,107.48,99.62,38.9,46.07,183.97,185.9,128.86,150.93,148.48,106.38,48.34,294.89,18.48,29.9,23.52,23.24,2023-03-03
Kerala,52.57,44.86,47.29,92.64,132.86,131.57,125.07,111.5,40.64,53.64,224.29,212.2,163.64,,151.36,112.38,58.5,233.64,14.36,29.5,22.14,37.29,2023-03-03
Madhya Pradesh,34.63,27.33,33.44,68.3,110.44,94.56,97.11,87.7,40.04,55.89,182.44,155.37,128.41,131.52,162.38,118.75,40.52,252.3,19.07,16.04,17.22,12.85,2023-03-03
Maharashtra,43.37,37.74,41.37,69.53,119.42,109.89,108.26,96.11,39.58,55.89,186.21,177.89,134,131.21,151.68,112,48.84,290.53,23.32,25.68,22.26,20.63,2023-03-03
Manipur,42.5,,42.5,75,112.5,135,115,85,45,66,185,220,140,205,197.5,113,80,250,30,22.5,31.5,40,2023-03-03
Meghalaya,29.38,40.25,39.5,76.17,112.29,117.83,108.14,91.5,44.88,70.25,143,157.63,138.67,154.38,182.25,133.25,75,352.75,22.75,22.25,30.88,35.38,2023-03-03
Mizoram,48.2,40,43.75,102.5,120,115,100,106,49.4,77.6,,216,200,152,220,137,109,217.5,28.8,35,50,59,2023-03-03
Nagaland,34.57,41,40.71,97,115,108.33,116.43,101.67,49.17,69,210,174.17,208,174.17,181.67,137.5,75,317.5,17.67,35.5,41.67,56.17,2023-03-03
Odisha,33.15,37,40.05,68.3,111.15,101.35,102.8,80.6,41.6,49,168.4,165.8,123.26,147.89,145.05,104.7,46.35,249,24.55,13.9,20.5,17.05,2023-03-03
Puducherry,40,41,36,69,119,119,105,84,37,44,205,184,153,,130,105,48,343,27,25,14,17,2023-03-03
Punjab,35.3,26.7,30.1,75.8,116.2,109.6,104.1,97.7,41.29,56.14,195.43,155.71,137.71,148.29,175.86,112.6,46.57,271.14,25.86,12.43,22,25.14,2023-03-03
Rajasthan,38.04,30.57,33.61,70.19,108.39,102.54,98.86,89.75,40.71,49.96,187.39,162.11,129.35,152.7,178,134,43.61,301.54,19.61,20.79,23.25,22.36,2023-03-03
Sikkim,58.6,36.6,41.4,80,125.6,128,118.4,104.2,48.2,61.6,,197.2,137.2,178.25,211.2,,56.4,428.6,18.4,28.6,34,33,2023-03-03
Tamil Nadu,50.67,42.44,49.22,71.89,118.78,115,109.56,94.33,38.78,42,217.67,198.88,132.11,,149.89,107.67,53.56,277.38,25.33,29,22.56,28,2023-03-03
Telangana,44.1,37,40.7,69.4,107.4,110.3,103.3,93.3,39.8,61.9,169.9,182.9,124.9,157.83,155.4,113.3,54.5,297.4,18.1,27.2,27.4,30.3,2023-03-03
Tripura,32.67,,42,73.5,113.5,111.5,106.67,109,47,74,,169,122,152.33,171.67,114.33,69.5,222.5,10,18.67,23,42.33,2023-03-03
Uttar Pradesh,34.14,26.04,32.01,68.94,107.86,103.14,101.3,91.91,40.81,59.91,187,159.01,136.07,149.55,171.1,117.06,43.48,240.67,25.57,13.03,20.94,16.57,2023-03-03
Uttarakhand,34.67,28,33.33,78,115,103.67,106,97.33,42.33,63,178.67,162.67,157.67,161.33,168.33,95,45.67,264.67,28.33,12.67,19.67,20,2023-03-03
West Bengal,40.33,25.5,34.33,70.5,116.5,106.17,109.83,101,43.17,49.83,189.5,156.17,112.67,141.33,153.67,110.5,50.33,274.67,20.83,12.5,23.5,19.17,2023-03-03
Andaman and Nicobar,41.33,40,65.33,85.33,126.67,140.67,127.33,111.67,51.33,69.33,224.5,216,200.67,,197.67,134.67,75,308.33,20.67,36.67,38.33,61.67,2023-03-04
Andhra Pradesh,51,41.4,43.4,69.8,115,119.8,110.4,102,40.8,57.4,176.8,204.6,119.4,180,154.4,116.6,56.8,322,21.2,29.2,22,23.2,2023-03-04
Arunachal pradesh,31.5,42,42.5,90,125,125,120,105,50,63,,176,152.5,170,206,138,95,300,16.5,22.5,35,40.5,2023-03-04
Assam,37.46,33,37.74,71.39,110.74,98.74,103.96,92.26,43.26,68.61,212.25,166.83,145.81,154.13,174.76,120.29,52.61,243.05,13.04,12.57,22.04,27.57,2023-03-04
Bihar,36.17,28.28,34.39,67.31,110.22,106.17,101.94,82.64,41.97,52.64,191.2,156.03,131.83,146.44,182.88,116.38,42.97,270.14,21.39,13.44,19.75,17.69,2023-03-04
Chandigarh,38,28,35,74,115,109,103,96,42,55,194,176,145,155,178,123,53,272,27,13,25,25,2023-03-04
Chhattisgarh,35.8,34,39,68.6,104.2,95.4,102.2,88.2,39.8,59.4,192.4,170.2,121.6,139.4,160.6,129.2,49.2,301.6,23,20,24,12,2023-03-04
Delhi,38,30,31,72,120,120,103,89,41,53,213,150,133,151,179,114,48,242,26,17,23,23,2023-03-04
DNH and DD,41,35,38,77,123,112,114,105,41,60,182,174,164,158,166,109,70,295,25,25,24,9,2023-03-04
Gujarat,33.5,32.25,34,69.5,106.25,101,91.75,98.75,40.5,54,191,181.25,151.75,176.75,178.5,134.75,46.75,332,14.5,26.5,27,29.5,2023-03-04
Haryana,37,26,33.25,63.5,103.5,95.25,95.75,89,41,58.67,189.67,156.33,130.67,139.33,175.67,121.67,41.33,232,24,16,23.67,25,2023-03-04
Himachal Pradesh,33.58,21,32.92,67.67,111.17,105.75,100.17,90.42,42.08,52,197,173.17,139.33,139.6,169.25,120,41.33,284.08,26.5,19,26.83,33.25,2023-03-04
Jammu and Kashmir,38.5,29,39.5,83.75,118.75,119,113.25,100,50.25,51.75,253,185.5,158.75,170.25,186.5,142.67,46.5,311.5,25.75,24.5,29.25,31.25,2023-03-04
Jharkhand,36.18,32.19,35.71,70.76,108.94,100.24,102.76,84,42.73,54.92,187.18,160.44,127.63,153.13,171.29,116.33,42.4,290.21,23.33,14.88,21.31,12.38,2023-03-04
Karnataka,49.45,41.26,44.94,76.23,116.35,114.55,107.26,100.55,38.94,46.35,182.19,185.26,128.42,152.67,148.77,105.94,48.26,308.84,19.26,30,23.97,23.74,2023-03-04
Kerala,52.5,44.86,47.29,92.64,132.86,131.5,125.07,111.5,40.69,53.77,224.57,212.6,163.15,,151.62,113.08,58.54,231.85,14.23,29.92,22.46,37.85,2023-03-04
Madhya Pradesh,33.61,27.39,33.52,67.83,111.91,94.61,98.48,87.22,39.74,55.87,182.78,155.09,126.22,131.09,164.05,121.17,39.7,243.41,18.26,15.65,17.09,12.39,2023-03-04
Maharashtra,43.42,37.68,41.26,69.58,119.37,109.89,108.16,96.05,39.58,55.89,186.16,177.94,134.05,131.05,151.79,112.06,48.84,290.84,23.37,25.79,22.32,20.89,2023-03-04
Meghalaya,30.33,41.5,40.5,79.25,113.8,114.25,111.4,92,44.83,70,,162.5,130,157,180,128.33,80,383.33,22.83,22.5,30.83,35.17,2023-03-04
Mizoram,55,,45,,,,,115,50,77.5,,,,160,,,127,130,30,35,62,45,2023-03-04
Nagaland,36,41.5,39,97,113.75,108,115,96,47.5,72.75,210,165,207.5,171,181.67,137.5,75,301.25,18.25,35.6,38,51.4,2023-03-04
Odisha,33.48,36.94,39.77,68.09,111.7,100.91,102.7,80.09,41.43,49,168.4,164.87,121.62,147.89,145,104.74,45.65,272.94,24.57,13.83,20.48,16.26,2023-03-04
Puducherry,40,41,36,70,119,119,105,84,38,44,205,184,153,,130,105,49,343,27,23,15,15,2023-03-04
Punjab,35.75,25.63,29.38,77.38,115.75,107.13,103,96.88,40.83,55.67,196,157.67,140.83,149.83,181.17,113.5,46.83,274.33,25.67,12.67,22.83,25,2023-03-04
Rajasthan,38.62,29.92,33.15,68.17,109.38,105.15,99.31,89.92,40.08,52.83,180.83,157.67,130.67,148.08,170.64,133,42.92,301.75,19.17,20.33,21.42,20.5,2023-03-04
Sikkim,58.6,36.6,41.4,80,125.6,128,118.4,104.2,48.2,61.6,,197.2,137.2,179.75,211.2,,56.4,428.6,18.4,28.6,34,33,2023-03-04
Tamil Nadu,50.67,42.44,49.22,71.89,118.78,115,109.56,94.33,38.78,42,217.67,198.88,132.11,,149.89,107.78,53.56,277.38,25.33,29.22,22.56,27.78,2023-03-04
Telangana,44.2,37,40.7,69.2,107.4,110.1,103.2,92,39.7,62.2,169.9,182.9,123.5,157.83,154.9,113.3,53.9,297.5,17.8,27.2,27.4,30.4,2023-03-04
Tripura,32,,43,77,115,115,110,111,47,74,,169.5,138,154,181.5,116.5,69.5,223,10,20.5,24.5,43.5,2023-03-04
Uttar Pradesh,33.9,25.94,31.88,69.06,107.93,103.43,101.63,92.16,40.84,59.83,186.98,158.36,135.96,148.73,170.56,117.03,43.48,240.16,25.6,13.15,21.04,16.76,2023-03-04
Uttarakhand,34.5,28.5,33.5,85.75,113.25,104.75,106.75,100,42,60.25,172.5,160.25,157,160,165.25,119.5,47,262.25,28.25,14,19.25,19,2023-03-04
West Bengal,39.86,26.2,34.43,70.57,115.71,105.57,108,100.71,43.43,49.86,187,158.67,116,144.17,157,113.17,50.57,266.57,20,14.17,24,20.67,2023-03-04
Andaman and Nicobar,41.33,40,65.33,85.33,126.67,140.67,127.33,111.67,51.33,69.33,224.5,216,200.67,,197.67,134.67,75,308.33,20.67,36.67,38.33,61.67,2023-03-05
Andhra Pradesh,51,41.4,43.4,69.8,115,119.8,110.4,102,40.8,57.4,176.8,204.6,119.4,180,154.4,116.6,56.8,322,21.2,29.2,22,23.2,2023-03-05
Arunachal pradesh,31.5,42,42.5,90,125,125,120,105,50,63,,176,152.5,170,206,138,95,300,16.5,22.5,35,40.5,2023-03-05
Assam,37.46,33,37.74,71.39,110.74,98.74,103.96,92.26,43.26,68.61,212.25,166.83,145.81,154.13,174.76,120.29,52.61,243.05,13.04,12.57,22.04,27.57,2023-03-05
Bihar,36.17,28.28,34.39,67.31,110.22,106.17,101.94,82.64,41.97,52.64,191.2,156.03,131.83,146.44,182.88,116.38,42.97,270.14,21.39,13.44,19.75,17.69,2023-03-05
