States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date
Gujarat,36,30.33,33.33,70.67,105.5,100.33,98.83,91.83,40,57.17,182.5,173.83,154.17,157.67,172.17,136.33,47.83,319.17,13.67,24.83,23.33,38,2022-10-03
Haryana,34,24,30.5,71.25,104.75,98,98.25,94.75,43.75,57.25,186.25,169.75,160.33,153.5,179.5,134,45,256.67,24.75,25,21.5,38.75,2022-10-03
Himachal Pradesh,33.73,21,31.27,68.09,112.55,106.09,96.55,92.09,42.27,49.2,196.25,172.27,148.36,142,171.25,127.75,43.18,249.9,25.73,31.55,28,46.18,2022-10-03
Jammu and Kashmir,38.5,28.25,38.5,78.25,119,117,111.25,104,49.25,51.25,250,192.5,168.5,165.5,185,143.33,48.5,304.75,24.25,34,30.75,52,2022-10-03
Jharkhand,33,26.4,30.5,70.5,106.83,100,100.5,90.17,42.25,52.67,207.67,175.5,133,171,196.75,145.6,46.25,339.67,21.5,21,24.67,46.6,2022-10-03
Karnataka,48.5,37,43.92,73.17,114.08,111.5,101.75,102.17,40.83,43.83,186.67,189.83,135.08,157,158.25,114.55,52.25,321.17,18.58,32.67,25.17,36.33,2022-10-03
Kerala,51.45,41.91,48,97,131.09,133.64,123.45,118.45,41.64,47,213.8,218.25,185.18,,164.45,114.2,61.82,236.45,14.09,41.73,26.45,45.82,2022-10-03
Madhya Pradesh,33.64,26.55,32.18,67.82,102.09,93.55,94,90.64,41,57.55,178.64,166.09,144,140.45,170.27,117.57,42.91,264.09,18.73,25.55,19.09,37.64,2022-10-03
Maharashtra,40.69,33.46,39.08,68.38,114.62,107.38,102.23,96.15,40.31,53.85,182.77,177.83,145.69,134.23,163.08,118.6,49.54,268.38,21.38,29.38,22.69,30.92,2022-10-03
Manipur,41,34,34,75,105,120,100,93,45,60,180,170,177,157,210,140,,,14,28,27,60,2022-10-03
Meghalaya,25.83,37,34.83,79.5,110.6,122.4,108.4,90.83,44.83,68.33,165,155.17,141,149.33,205,139.33,73,353.33,23.5,33.83,39,50.5,2022-10-03
Mizoram,46.8,40,44,97.5,120,130,110,108,49.4,74.4,,202.67,210,147,220,137,100,200,26.8,38.25,52.5,70.25,2022-10-03
Nagaland,33,38,40.33,98.86,122.5,118.57,120.63,102.78,50.63,67.43,210,186.43,200,180,205,165,76.67,328.57,16,33.57,43.57,64.29,2022-10-03
Odisha,31.86,34.43,35.43,67.43,109.57,95.14,95.29,85.57,43.57,48,180,166.71,113.29,162,158.14,104.71,48.71,232.33,24.14,25.29,22.71,41.29,2022-10-03
Puducherry,34,39,36,79,125,129,107,102,42,44,174,190,164,,138,93,52,328,25,40,25,35,2022-10-03
Punjab,37.75,24.25,28,74.75,121,116.75,108.5,106,42,54.25,210.67,172.75,152.5,156.25,196.5,107,53,303.5,24.75,25.5,25,43,2022-10-03
Rajasthan,37,29.86,32.43,76.43,112,105.57,97.29,94.86,42.29,48,194.14,174.57,148.5,166.67,192.4,154.67,46.71,271.71,20.43,25.86,24.71,43.14,2022-10-03
Tamil Nadu,50.11,39.22,47.33,74.11,119.67,123.22,105.11,99.67,40.11,41.67,207.67,209.25,140.22,,162.56,106.11,53.67,269.63,24.11,38.78,26.33,36.89,2022-10-03
Telangana,41.83,34.67,40,69.67,106.17,110,101.33,94.17,40.17,57.83,172.5,187.5,143.83,174.33,172.17,127.83,53.83,288,17.5,25,26,40.67,2022-10-03
Tripura,45,,35,75,110,110,110,105,50,72,,168,135,155,190,135,52,179,10,30,30,58,2022-10-03
Uttar Pradesh,33.41,25.97,31.13,71.83,107.47,103.7,98.4,93.4,41.07,58.04,187.96,162.21,144.21,147.21,171.57,124.86,47,275.07,24.54,22.93,21.82,42.18,2022-10-03
Uttarakhand,33,25.5,32.5,82.5,111,108.5,107,97,44,62.5,198,171,178,168,192,,43,287,26.5,23.5,25,37.5,2022-10-03
